City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
182,Yulin,CN,76.55,overcast clouds,22.6333,110.15,罗弟天海大厦
186,Ha Tinh,VN,81.1,moderate rain,18.3333,105.9,Phú Quý
187,Karratha,AU,67.68,clear sky,-20.7377,116.8463,ibis Styles Karratha
190,Perelyub,RU,70.16,clear sky,51.8667,50.3667,
191,Nukus,UZ,66.18,clear sky,42.4531,59.6103,Hotel Jipek Joli
192,Kindu,CD,70.2,broken clouds,-2.95,25.95,Résidence Okanda
194,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
195,Litovko,RU,66.96,overcast clouds,49.2361,135.1742,
196,Mayumba,GA,68.9,few clouds,-3.432,10.6554,LIKWALE LODGE
198,Tuy Hoa,VN,79.95,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
199,Samarai,PG,78.94,overcast clouds,-10.6167,150.6667,Nuli Sapi
200,Dongying,CN,70.41,overcast clouds,37.4564,118.4856,Wanda Realm
203,Maragogi,BR,73.47,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
204,Sola,VU,80.35,clear sky,-13.8833,167.55,Leumerus Bungalows
206,Maraba,BR,77.18,clear sky,-5.3686,-49.1178,Hotel Del Principe
207,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
209,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
211,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
215,Gamba,GA,69.64,broken clouds,-2.65,10.0,
217,Aracati,BR,78.21,scattered clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
223,Saint Anthony,US,78.93,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
225,Kodinar,IN,79.95,overcast clouds,20.7903,70.7031,residency of N.B vadhel
228,Cayhagan,PH,80.47,overcast clouds,9.6697,122.4256,Melrose Beach Resort
231,Novopokrovka,UA,66.87,overcast clouds,49.8425,36.5477,Пудж дом
233,Omboue,GA,72.66,overcast clouds,-1.5746,9.2618,Hotel Olako
234,Reoti,IN,82.78,broken clouds,25.85,84.3833,Banti And Sans Koila Store
235,Tual,ID,80.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
237,Panaba,MX,78.6,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
239,Biak,ID,79.29,broken clouds,-0.9131,122.8766,Penginapan Kim
240,Carbonia,IT,76.01,clear sky,39.1672,8.5222,Lu 'Hotel
242,Kamenka,RU,68.41,broken clouds,51.3223,42.7678,
244,Gigmoto,PH,82.99,overcast clouds,13.7796,124.39,Cj's Travellers Inn
246,Kutum,SD,74.32,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
247,Vinh Long,VN,75.18,broken clouds,10.25,105.9667,Phuong Thao Homestay
249,Sungai Udang,MY,84.07,few clouds,2.269,102.1427,SGU Hotel
251,Betanzos,ES,70.45,clear sky,43.2804,-8.2147,Hotel Garelos Betanzos
253,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
255,Cockburn Town,TC,81.28,clear sky,21.4612,-71.1419,Osprey Beach Hotel
256,Marsh Harbour,BS,83.05,clear sky,26.5412,-77.0636,Abaco Beach Resort
257,Griffith,US,69.3,clear sky,41.5284,-87.4237,Apartment above Depot Bar
258,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
262,Bubaque,GW,80.46,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
