City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Tehri,IN,2022-04-27 19:34:23,30.3833,78.4833,73.02,27,0,5.93
186,Faanui,PF,2022-04-27 19:34:24,-16.4833,-151.75,81.46,74,9,22.39
187,Cubuk,TR,2022-04-27 19:35:25,40.2386,33.0322,62.06,45,40,8.05
188,Marawi,PH,2022-04-27 19:26:41,7.9986,124.2928,70.83,90,100,1.95
189,Mecca,SA,2022-04-27 19:35:25,21.4267,39.8261,83.03,65,0,10.76
190,Aklavik,CA,2022-04-27 19:35:26,68.2191,-135.0107,19.81,86,100,10.51
191,Margaritas,MX,2022-04-27 19:35:27,20.4538,-102.4739,91.18,18,0,3.4
192,Salalah,OM,2022-04-27 19:35:27,17.0151,54.0924,84.29,74,0,4.61
193,Pingliang,CN,2022-04-27 19:35:28,35.5392,106.6861,45.41,77,100,5.55
194,Talaya,RU,2022-04-27 19:35:28,61.3833,152.75,9.63,94,100,4.7
195,Komsomolskiy,UZ,2022-04-27 19:26:51,40.4272,71.7189,61.52,77,0,4.61
196,Alexandria,EG,2022-04-27 19:35:26,31.2156,29.9553,67.96,73,0,5.75
197,Mount Gambier,AU,2022-04-27 19:31:39,-37.8333,140.7667,58.91,94,100,8.05
198,Batagay,RU,2022-04-27 19:35:29,67.6333,134.6333,9.95,96,100,3.15
199,Chokurdakh,RU,2022-04-27 19:35:30,70.6333,147.9167,11.48,95,99,7.2
200,San Francisco,US,2022-04-27 19:33:06,37.7749,-122.4194,70.52,61,75,16.11
201,Itoman,JP,2022-04-27 19:35:31,26.1247,127.6694,77.4,96,75,9.22
202,Laguna,US,2022-04-27 19:32:22,38.421,-121.4238,72.05,47,0,5.75
203,Kampot,KH,2022-04-27 19:35:31,10.6167,104.1833,78.85,82,4,4.85
204,Almeirim,BR,2022-04-27 19:35:33,-1.5233,-52.5817,83.16,76,100,3.29
205,Bethel,US,2022-04-27 19:35:33,41.3712,-73.414,53.98,50,75,14.97
206,Araceli,PH,2022-04-27 19:35:33,10.5529,119.9913,81.34,83,100,16.67
207,Port Elizabeth,ZA,2022-04-27 19:35:34,-33.918,25.5701,62.89,88,0,8.05
208,Alugan,PH,2022-04-27 19:35:34,12.2188,125.4808,80.22,84,75,11.14
209,Yangcun,CN,2022-04-27 19:35:35,39.3639,117.0603,50.0,88,100,9.75
210,Arroio Grande,BR,2022-04-27 19:35:35,-32.2375,-53.0869,66.2,98,100,4.14
211,Carnarvon,AU,2022-04-27 19:35:35,-24.8667,113.6333,60.87,88,3,8.05
212,Portland,US,2022-04-27 19:32:15,45.5234,-122.6762,56.86,66,75,5.75
213,Vila Velha,BR,2022-04-27 19:22:05,-20.3297,-40.2925,84.15,72,20,13.8
214,Torbay,CA,2022-04-27 19:23:12,47.6666,-52.7314,45.75,82,75,6.91
215,Hithadhoo,MV,2022-04-27 19:35:37,-0.6,73.0833,83.8,74,100,6.67
216,Suba,PH,2022-04-27 19:35:38,10.8438,121.0102,83.14,76,100,12.44
217,Pilikwe,BW,2022-04-27 19:35:38,-22.799,27.1938,61.07,72,28,11.45
218,Hilo,US,2022-04-27 19:35:38,19.7297,-155.09,81.28,92,100,1.99
219,Praia Da Vitoria,PT,2022-04-27 19:35:39,38.7333,-27.0667,66.45,88,75,24.23
220,Conil,FR,2022-04-27 19:35:39,44.9673,3.7177,45.19,84,94,3.4
221,Mao,ES,2022-04-27 19:35:40,39.8885,4.2658,59.56,82,0,8.05
222,Tuatapere,NZ,2022-04-27 19:35:40,-46.1333,167.6833,44.35,93,38,3.74
223,Mar Del Plata,AR,2022-04-27 19:35:40,-38.0023,-57.5575,64.42,45,0,10.36
224,Rio Brilhante,BR,2022-04-27 19:33:11,-21.8019,-54.5464,91.09,34,31,10.02
225,Alghero,IT,2022-04-27 19:35:41,40.5589,8.3181,59.09,94,0,6.91
226,Lompoc,US,2022-04-27 19:35:42,34.6391,-120.4579,72.7,62,0,18.99
227,Aldergrove,CA,2022-04-27 19:35:42,49.058,-122.4709,53.56,67,75,3.44
228,Quata,BR,2022-04-27 19:35:42,-22.2475,-50.6983,82.35,59,3,3.76
229,Troitskoye,RU,2022-04-27 19:35:43,52.9821,84.6757,46.89,65,0,6.46
230,Ailigandi,PA,2022-04-27 19:35:43,9.2333,-78.0167,80.06,85,100,6.17
231,Daru,PG,2022-04-27 19:35:44,-9.0763,143.2092,78.4,87,56,7.45
232,Pokosnoye,RU,2022-04-27 19:35:44,55.5258,101.0536,25.09,93,8,2.62
233,Shimoda,JP,2022-04-27 19:35:44,34.6667,138.95,61.11,85,100,21.85
234,Potiskum,NG,2022-04-27 19:35:45,11.7091,11.0694,87.69,26,57,9.15
235,Viedma,AR,2022-04-27 19:35:45,-40.8135,-62.9967,59.72,31,97,30.53
