City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
110,Berlevag,NO,2022-08-10 01:23:52,70.8578,29.0864,51.6,81,100,2.3,overcast clouds,0.0,0.0
111,Sao Filipe,CV,2022-08-10 01:23:53,14.8961,-24.4956,79.41,87,82,0.87,broken clouds,0.0,0.0
112,Morondava,MG,2022-08-10 01:23:53,-20.2833,44.2833,66.79,64,0,8.46,clear sky,0.0,0.0
113,Butaritari,KI,2022-08-10 01:23:54,3.0707,172.7902,81.82,75,10,13.94,clear sky,0.0,0.0
114,Kralendijk,BQ,2022-08-10 01:23:54,12.15,-68.2667,82.38,83,75,17.27,broken clouds,0.0,0.0
115,Taltal,CL,2022-08-10 01:23:17,-25.4,-70.4833,67.17,41,0,4.21,clear sky,0.0,0.0
116,Pangnirtung,CA,2022-08-10 01:21:23,66.1451,-65.7125,47.48,77,86,2.01,overcast clouds,0.0,0.0
117,Nuuk,GL,2022-08-10 01:23:55,64.1835,-51.7216,39.81,100,75,5.75,broken clouds,0.0,0.0
118,Busselton,AU,2022-08-10 01:23:55,-33.65,115.3333,53.15,74,100,7.14,overcast clouds,0.0,0.0
119,Puerto Del Rosario,ES,2022-08-10 01:23:55,28.5004,-13.8627,71.35,78,75,13.8,broken clouds,0.0,0.0
120,Cidreira,BR,2022-08-10 01:22:15,-30.1811,-50.2056,55.09,88,100,15.19,light rain,0.0,0.0
121,San Cristobal,VE,2022-08-10 01:22:52,7.7669,-72.225,68.18,94,100,3.33,overcast clouds,0.0,0.0
122,Cherskiy,RU,2022-08-10 01:23:11,68.75,161.3,57.29,64,100,9.53,overcast clouds,0.0,0.0
123,Samarinda,ID,2022-08-10 01:23:56,-0.5,117.15,80.15,88,61,2.33,light rain,0.0,0.0
124,Severo-Yeniseyskiy,RU,2022-08-10 01:23:56,60.3725,93.0408,57.81,95,100,3.65,overcast clouds,0.0,0.0
125,Ambilobe,MG,2022-08-10 01:23:57,-13.2,49.05,63.77,78,95,5.73,overcast clouds,0.0,0.0
126,Labuhan,ID,2022-08-10 01:23:57,-6.8844,112.2051,80.85,72,74,10.49,broken clouds,0.0,0.0
127,Lebu,CL,2022-08-10 01:20:13,-37.6167,-73.65,47.86,80,100,10.38,overcast clouds,0.0,0.0
128,Saint-Philippe,RE,2022-08-10 01:21:36,-21.3585,55.7679,65.79,77,97,15.95,overcast clouds,0.0,0.0
129,Bongandanga,CD,2022-08-10 01:23:58,1.5,21.05,73.98,80,100,2.95,overcast clouds,0.0,0.0
130,East London,ZA,2022-08-10 01:20:16,-33.0153,27.9116,64.92,45,93,5.26,overcast clouds,0.0,0.0
131,Staszow,PL,2022-08-10 01:23:59,50.5631,21.1659,59.92,83,9,6.73,clear sky,0.0,0.0
132,Atar,MR,2022-08-10 01:23:31,20.5169,-13.0499,97.0,9,79,15.52,broken clouds,0.0,0.0
133,Lagoa,PT,2022-08-10 01:23:59,39.05,-27.9833,71.6,81,40,7.4,scattered clouds,0.0,0.0
134,Lorengau,PG,2022-08-10 01:23:25,-2.0226,147.2712,82.62,77,51,7.0,broken clouds,0.0,0.0
135,Petropavlovsk-Kamchatskiy,RU,2022-08-10 01:24:00,53.0452,158.6483,54.19,100,75,8.95,light intensity shower rain,0.0,0.0
136,Portland,US,2022-08-10 01:23:50,45.5234,-122.6762,89.62,53,20,10.36,few clouds,0.0,0.0
137,Necochea,AR,2022-08-10 01:24:00,-38.5473,-58.7368,44.04,68,29,8.63,scattered clouds,0.0,0.0
